INSEE,Codepos,Commune,Departement
1001,01400,L ABERGEMENT CLEMENCIAT,AIN
1002,01640,L ABERGEMENT DE VAREY,AIN
1003,01090,AMAREINS,AIN
1004,01500,AMBERIEU EN BUGEY,AIN
1005,01330,AMBERIEUX EN DOMBES,AIN
1006,01300,AMBLEON,AIN
1007,01500,AMBRONAY,AIN
1008,01500,AMBUTRIX,AIN
1009,01300,ANDERT ET CONDON,AIN
1010,01350,ANGLEFORT,AIN
1011,01100,APREMONT,AIN
1012,01110,ARANC,AIN
1013,01230,ARANDAS,AIN
1014,01100,ARBENT,AIN
1015,01300,ARBIGNIEU,AIN
1016,01190,ARBIGNY,AIN
1017,01230,ARGIS,AIN
1019,01510,ARMIX,AIN
1021,01480,ARS SUR FORMANS,AIN
1022,01510,ARTEMARE,AIN
1023,01570,ASNIERES SUR SAONE,AIN
1024,01340,ATTIGNAT,AIN
1025,01380,BAGE LA VILLE,AIN
1026,01380,BAGE LE CHATEL,AIN
1027,01360,BALAN,AIN
1028,01990,BANEINS,AIN
1029,01270,BEAUPONT,AIN
1030,01480,BEAUREGARD,AIN
1031,01810,BELLIGNAT,AIN
1032,01360,BELIGNEUX,AIN
1033,01200,BELLEGARDE SUR VALSERINE,AIN
1034,01300,BELLEY,AIN
1035,01130,BELLEYDOUX,AIN
1036,01260,BELMONT LUTHEZIEU,AIN
1037,01470,BENONCES,AIN
1038,01370,BENY,AIN
1039,01350,BEON,AIN
1040,01340,BEREZIAT,AIN
1041,01500,BETTANT,AIN
1042,01290,BEY,AIN
1043,01700,BEYNOST,AIN
1044,01200,BILLIAT,AIN
1045,01330,BIRIEUX,AIN
1046,01290,BIZIAT,AIN
1047,01150,BLYES,AIN
1048,01250,BOHAS,AIN
1049,01120,LA BOISSE,AIN
1050,01190,BOISSEY,AIN
1051,01450,BOLOZON,AIN
1052,01330,BOULIGNEUX,AIN
1053,01000,BOURG EN BRESSE,AIN
1054,01800,BOURG ST CHRISTOPHE,AIN
1055,01100,BOUVENT,AIN
1056,01640,BOYEUX ST JEROME,AIN
1057,01190,BOZ,AIN
1058,01300,BREGNIER CORDON,AIN
1059,01260,BRENAZ,AIN
1060,01110,BRENOD,AIN
1061,01300,BRENS,AIN
1062,01360,BRESSOLLES,AIN
1063,01460,BRION,AIN
1064,01470,BRIORD,AIN
1065,01310,BUELLAS,AIN
1066,01510,LA BURBANCHE,AIN
1067,01430,CEIGNES,AIN
1068,01450,CERDON,AIN
1069,01240,CERTINES,AIN
1070,01090,CESSEINS,AIN
1071,01170,CESSY,AIN
1072,01250,CEYZERIAT,AIN
1073,01350,CEYZERIEU,AIN
1074,01320,CHALAMONT,AIN
1075,01480,CHALEINS,AIN
1076,01230,CHALEY,AIN
1077,01450,CHALLES,AIN
1078,01630,CHALLEX,AIN
1079,01260,CHAMPAGNE EN VALROMEY,AIN
1080,01110,CHAMPDOR,AIN
1081,01410,CHAMPFROMIER,AIN
1082,01420,CHANAY,AIN
1083,01990,CHANEINS,AIN
1084,01400,CHANOZ CHATENAY,AIN
1085,01240,LA CHAPELLE DU CHATELARD,AIN
1086,01260,CHARANCIN,AIN
1087,01130,CHARIX,AIN
1088,01800,CHARNOZ SUR AIN,AIN
1089,01500,CHATEAU GAILLARD,AIN
1090,01320,CHATENAY,AIN
1091,01200,CHATILLON EN MICHAILLE,AIN
1092,01320,CHATILLON LA PALUD,AIN
1093,01400,CHATILLON SUR CHALARONNE,AIN
1094,01190,CHAVANNES SUR REYSSOUZE,AIN
1095,01250,CHAVANNES SUR SURAN,AIN
1096,01660,CHAVEYRIAT,AIN
1097,01510,CHAVORNAY,AIN
1098,01300,CHAZEY BONS,AIN
1099,01150,CHAZEY SUR AIN,AIN
1100,01510,CHEIGNIEU LA BALME,AIN
1101,01430,CHEVILLARD,AIN
1102,01190,CHEVROUX,AIN
1103,01170,CHEVRY,AIN
1104,01200,CHEZERY FORENS,AIN
1105,01390,CIVRIEUX,AIN
1106,01250,CIZE,AIN
1107,01230,CLEYZIEU,AIN
1108,01270,COLIGNY,AIN
1109,01550,COLLONGES,AIN
1110,01300,COLOMIEU,AIN
1111,01230,CONAND,AIN
1112,01430,CONDAMINE,AIN
1113,01400,CONDEISSIAT,AIN
1114,01200,CONFORT,AIN
1115,01310,CONFRANCON,AIN
1116,01300,CONTREVOZ,AIN
1117,01300,CONZIEU,AIN
1118,01420,CORBONOD,AIN
1119,01110,CORCELLES,AIN
1120,01120,CORDIEUX,AIN
1121,01110,CORLIER,AIN
1122,01110,CORMARANCHE EN BUGEY,AIN
1123,01290,CORMORANCHE SUR SAONE,AIN
1124,01560,CORMOZ,AIN
1125,01250,CORVEISSIAT,AIN
1127,01370,COURMANGOUX,AIN
1128,01560,COURTES,AIN
1129,01320,CRANS,AIN
1130,01340,CRAS SUR REYSSOUZE,AIN
1131,01200,CRAZ EN MICHAILLE,AIN
1133,01350,CRESSIN ROCHEFORT,AIN
1134,01620,CROTTET,AIN
1135,01170,CROZET,AIN
1136,01290,CRUZILLES LES MEPILLAT,AIN
1137,01370,CUISIAT,AIN
1138,01350,CULOZ,AIN
1139,01560,CURCIAT DONGALON,AIN
1140,01310,CURTAFOND,AIN
1141,01300,CUZIEU,AIN
1142,01120,DAGNEUX,AIN
1143,01220,DIVONNE LES BAINS,AIN
1144,01380,DOMMARTIN,AIN
1145,01240,DOMPIERRE SUR VEYLE,AIN
1146,01400,DOMPIERRE SUR CHALARONNE,AIN
1147,01270,DOMSURE,AIN
1148,01590,DORTAN,AIN
1149,01500,DOUVRES,AIN
1150,01250,DROM,AIN
1151,01160,DRUILLAT,AIN
1152,01130,ECHALLON,AIN
1153,01170,ECHENEVEX,AIN
1154,01340,ETREZ,AIN
1155,01230,EVOSGES,AIN
1156,01800,FARAMANS,AIN
1157,01480,FAREINS,AIN
1158,01550,FARGES,AIN
1159,01570,FEILLENS,AIN
1160,01210,FERNEY VOLTAIRE,AIN
1161,01260,FITIGNIEU,AIN
1162,01350,FLAXIEU,AIN
1163,01340,FOISSIAT,AIN
1165,01090,AMAREINS FRANCHELEINS CES,AIN
1166,01480,FRANS,AIN
1167,01140,GARNERANS,AIN
1169,01090,GENOUILLEUX,AIN
1170,01460,GEOVREISSIAT,AIN
1171,01100,GEOVREISSET,AIN
1172,01250,GERMAGNAT,AIN
1173,01170,GEX,AIN
1174,01130,GIRON,AIN
1175,01190,GORREVOD,AIN
1176,01260,LE GRAND ABERGEMENT,AIN
1177,01250,GRAND CORENT,AIN
1178,01580,GRANGES,AIN
1179,01290,GRIEGES,AIN
1180,01220,GRILLY,AIN
1181,01810,GROISSIAT,AIN
1182,01680,GROSLEE,AIN
1183,01090,GUEREINS,AIN
1184,01250,HAUTECOURT ROMANECHE,AIN
1185,01110,HAUTEVILLE LOMPNES,AIN
1186,01110,HOSTIAS,AIN
1187,01260,HOTONNES,AIN
1188,01140,ILLIAT,AIN
1189,01200,INJOUX GENISSIAT,AIN
1190,01680,INNIMOND,AIN
1191,01430,IZENAVE,AIN
1192,01580,IZERNORE,AIN
1193,01300,IZIEU,AIN
1194,01480,JASSANS RIOTTIER,AIN
1195,01250,JASSERON,AIN
1196,01340,JAYAT,AIN
1197,01250,JOURNANS,AIN
1198,01800,JOYEUX,AIN
1199,01640,JUJURIEUX,AIN
1200,01450,LABALME,AIN
1202,01150,LAGNIEU,AIN
1203,01290,LAIZ,AIN
1204,01130,LALLEYRIAT,AIN
1205,01200,LANCRANS,AIN
1206,01430,LANTENAY,AIN
1207,01330,LAPEYROUSE,AIN
1208,01350,LAVOURS,AIN
1209,01200,LEAZ,AIN
1210,01410,LELEX,AIN
1211,01240,LENT,AIN
1212,01560,LESCHEROUX,AIN
1213,01150,LEYMENT,AIN
1214,01450,LEYSSARD,AIN
1215,01420,LHOPITAL,AIN
1216,01680,LHUIS,AIN
1217,01260,LILIGNOD,AIN
1218,01260,LOCHIEU,AIN
1219,01680,LOMPNAS,AIN
1221,01260,LOMPNIEU,AIN
1223,01800,LOYES,AIN
1224,01360,LOYETTES,AIN
1225,01090,LURCY,AIN
1226,01260,LUTHEZIEU,AIN
1227,01300,MAGNIEU,AIN
1228,01430,MAILLAT,AIN
1229,01340,MALAFRETAZ,AIN
1230,01560,MANTENAY MONTLIN,AIN
1231,01570,MANZIAT,AIN
1232,01851,MARBOZ,AIN
1233,01680,MARCHAMP,AIN
1234,01300,MARIGNIEU,AIN
1235,01240,MARLIEUX,AIN
1236,01340,MARSONNAS,AIN
1237,01810,MARTIGNAT,AIN
1238,01600,MASSIEUX,AIN
1239,01300,MASSIGNIEU DE RIVES,AIN
1240,01580,MATAFELON GRANGES,AIN
1241,01370,MEILLONNAS,AIN
1242,01450,MERIGNAT,AIN
1243,01480,MESSIMY SUR SAONE,AIN
1244,01800,MEXIMIEUX,AIN
1245,01250,BOHAS MEYRIAT RIGNAT,AIN
1246,01660,MEZERIAT,AIN
1247,01170,MIJOUX,AIN
1248,01390,MIONNAY,AIN
1249,01700,MIRIBEL,AIN
1250,01600,MISERIEUX,AIN
1251,01280,MOENS,AIN
1252,01140,MOGNENEINS,AIN
1253,01800,MOLLON,AIN
1254,01250,MONTAGNAT,AIN
1255,01470,MONTAGNIEU,AIN
1257,01200,MONTANGES,AIN
1258,01090,MONTCEAUX,AIN
1259,01310,MONTCET,AIN
1260,01800,LE MONTELLIER,AIN
1261,01390,MONTHIEUX,AIN
1262,01120,MONTLUEL,AIN
1263,01090,MONTMERLE SUR SAONE,AIN
1264,01310,MONTRACOL,AIN
1265,01460,MONTREAL LA CLUSE,AIN
1266,01340,MONTREVEL EN BRESSE,AIN
1267,01460,NURIEUX VOLOGNAT,AIN
1268,01300,MURS ET GELIGNIEUX,AIN
1269,01130,NANTUA,AIN
1270,01580,NAPT,AIN
1271,01300,NATTAGES,AIN
1272,01400,NEUVILLE LES DAMES,AIN
1273,01160,NEUVILLE SUR AIN,AIN
1274,01130,LES NEYROLLES,AIN
1275,01700,NEYRON,AIN
1276,01120,NIEVROZ,AIN
1277,01230,NIVOLLET MONTGRIFFON,AIN
1278,01200,OCHIAZ,AIN
1279,01230,ONCIEU,AIN
1280,01510,ORDONNAZ,AIN
1281,01210,ORNEX,AIN
1282,01430,OUTRIAZ,AIN
1283,01100,OYONNAX,AIN
1284,01190,OZAN,AIN
1285,01600,PARCIEUX,AIN
1286,01300,PARVES,AIN
1287,01260,PASSIN,AIN
1288,01630,PERON,AIN
1289,01960,PERONNAS,AIN
1290,01800,PEROUGES,AIN
1291,01540,PERREX,AIN
1292,01260,LE PETIT ABERGEMENT,AIN
1293,01430,PEYRIAT,AIN
1294,01300,PEYRIEU,AIN
1295,01140,PEYZIEUX SUR SAONE,AIN
1296,01270,PIRAJOUX,AIN
1297,01120,PIZAY,AIN
1298,01130,PLAGNE,AIN
1299,01330,LE PLANTAY,AIN
1300,01130,LE POIZAT,AIN
1301,01310,POLLIAT,AIN
1302,01350,POLLIEU,AIN
1303,01450,PONCIN,AIN
1304,01160,PONT D AIN,AIN
1305,01190,PONT DE VAUX,AIN
1306,01290,PONT DE VEYLE,AIN
1307,01460,PORT,AIN
1308,01550,POUGNY,AIN
1309,01250,POUILLAT,AIN
1310,01300,PREMEYZEL,AIN
1311,01510,PREMILLIEU,AIN
1312,01370,PRESSIAT,AIN
1313,01280,PREVESSIN MOENS,AIN
1314,01160,PRIAY,AIN
1316,01510,PUGIEU,AIN
1317,01250,RAMASSE,AIN
1318,01390,RANCE,AIN
1319,01990,RELEVANT,AIN
1320,01620,REPLONGES,AIN
1321,01250,REVONNAS,AIN
1322,01600,REYRIEUX,AIN
1323,01190,REYSSOUZE,AIN
1324,01250,RIGNAT,AIN
1325,01800,RIGNIEUX LE FRANC,AIN
1327,01250,ROMANECHE,AIN
1328,01400,ROMANS,AIN
1329,01510,ROSSILLON,AIN
1330,01260,RUFFIEU,AIN
1331,01450,ST ALBAN,AIN
1332,01380,ST ANDRE DE BAGE,AIN
1333,01390,ST ANDRE DE CORCY,AIN
1334,01290,ST ANDRE D HUIRIAT,AIN
1335,01240,ST ANDRE LE BOUCHOUX,AIN
1336,01240,ST ANDRE SUR VIEUX JONC,AIN
1337,01190,ST BENIGNE,AIN
1338,01300,ST BENOIT,AIN
1339,01600,ST BERNARD,AIN
1340,01300,ST BOIS,AIN
1341,01300,ST CHAMP,AIN
1342,01120,STE CROIX,AIN
1343,01380,ST CYR SUR MENTHON,AIN
1344,01000,ST DENIS LES BOURG,AIN
1345,01500,ST DENIS EN BUGEY,AIN
1346,01340,ST DIDIER D AUSSIAT,AIN
1347,01600,ST DIDIER DE FORMANS,AIN
1348,01140,ST DIDIER SUR CHALARONNE,AIN
1349,01800,ST ELOI,AIN
1350,01370,ST ETIENNE DU BOIS,AIN
1351,01140,ST ETIENNE SUR CHALARONNE,AIN
1352,01190,ST ETIENNE SUR REYSSOUZE,AIN
1353,01600,STE EUPHEMIE,AIN
1354,01630,ST GENIS POUILLY,AIN
1355,01380,ST GENIS SUR MENTHON,AIN
1356,01400,ST GEORGES SUR RENON,AIN
1357,01130,ST GERMAIN DE JOUX,AIN
1358,01300,ST GERMAIN LES PAROISSES,AIN
1359,01240,ST GERMAIN SUR RENON,AIN
1360,01630,ST JEAN DE GONVILLE,AIN
1361,01800,ST JEAN DE NIOST,AIN
1362,01390,ST JEAN DE THURIGNEUX,AIN
1363,01640,ST JEAN LE VIEUX,AIN
1364,01560,ST JEAN SUR REYSSOUZE,AIN
1365,01290,ST JEAN SUR VEYLE,AIN
1366,01150,STE JULIE,AIN
1367,01560,ST JULIEN SUR REYSSOUZE,AIN
1368,01540,ST JULIEN SUR VEYLE,AIN
1369,01250,ST JUST,AIN
1370,01620,ST LAURENT SUR SAONE,AIN
1371,01390,ST MARCEL,AIN
1372,01510,ST MARTIN DE BAVEL,AIN
1373,01430,ST MARTIN DU FRENE,AIN
1374,01160,ST MARTIN DU MONT,AIN
1375,01310,ST MARTIN LE CHATEL,AIN
1376,01700,ST MAURICE DE BEYNOST,AIN
1378,01800,ST MAURICE DE GOURDANS,AIN
1379,01500,ST MAURICE DE REMENS,AIN
1380,01560,ST NIZIER LE BOUCHOUX,AIN
1381,01320,ST NIZIER LE DESERT,AIN
1382,01330,STE OLIVE,AIN
1383,01240,ST PAUL DE VARAX,AIN
1384,01230,ST RAMBERT EN BUGEY,AIN
1385,01310,ST REMY,AIN
1386,01150,ST SORLIN EN BUGEY,AIN
1387,01340,ST SULPICE,AIN
1388,01560,ST TRIVIER DE COURTES,AIN
1389,01990,ST TRIVIER SUR MOIGNANS,AIN
1390,01150,ST VULBAS,AIN
1391,01270,SALAVRE,AIN
1392,01580,SAMOGNAT,AIN
1393,01400,SANDRANS,AIN
1396,01150,SAULT BRENAZ,AIN
1397,01220,SAUVERNY,AIN
1398,01480,SAVIGNEUX,AIN
1399,01170,SEGNY,AIN
1400,01470,SEILLONNAZ,AIN
1401,01630,SERGY,AIN
1402,01190,SERMOYER,AIN
1403,01470,SERRIERES DE BRIORD,AIN
1404,01450,SERRIERES SUR AIN,AIN
1405,01240,SERVAS,AIN
1406,01560,SERVIGNAT,AIN
1407,01420,SEYSSEL,AIN
1408,01250,SIMANDRE SUR SURAN,AIN
1409,01260,SONGIEU,AIN
1410,01580,SONTHONNAX LA MONTAGNE,AIN
1411,01150,SOUCLIN,AIN
1412,01400,SULIGNAT,AIN
1413,01420,SURJOUX,AIN
1414,01260,SUTRIEU,AIN
1415,01510,TALISSIEU,AIN
1416,01230,TENAY,AIN
1417,01110,THEZILLIEU,AIN
1418,01120,THIL,AIN
1419,01710,THOIRY,AIN
1420,01140,THOISSEY,AIN
1421,01230,TORCIEU,AIN
1422,01250,TOSSIAT,AIN
1423,01600,TOUSSIEUX,AIN
1424,01390,TRAMOYES,AIN
1425,01160,LA TRANCLIERE,AIN
1426,01370,TREFFORT CUISIAT,AIN
1427,01600,TREVOUX,AIN
1428,01140,VALEINS,AIN
1429,01660,VANDEINS,AIN
1430,01160,VARAMBON,AIN
1431,01150,VAUX EN BUGEY,AIN
1432,01270,VERJON,AIN
1433,01560,VERNOUX,AIN
1434,01330,VERSAILLEUX,AIN
1435,01210,VERSONNEX,AIN
1436,01170,VESANCY,AIN
1437,01560,VESCOURS,AIN
1439,01570,VESINES,AIN
1440,01100,VEYZIAT,AIN
1441,01430,VIEU D IZENAVE,AIN
1442,01260,VIEU,AIN
1443,01330,VILLARS LES DOMBES,AIN
1444,01150,VILLEBOIS,AIN
1445,01270,VILLEMOTIER,AIN
1446,01480,VILLENEUVE,AIN
1447,01250,VILLEREVERSURE,AIN
1448,01200,VILLES,AIN
1449,01320,VILLETTE SUR AIN,AIN
1450,01800,VILLIEU LOYES MOLLON,AIN
1451,01440,VIRIAT,AIN
1452,01510,VIRIEU LE GRAND,AIN
1453,01260,VIRIEU LE PETIT,AIN
1454,01300,VIRIGNIN,AIN
1455,01460,VOLOGNAT,AIN
1456,01350,VONGNES,AIN
1457,01540,VONNAS,AIN
1458,01200,VOUVRAY,AIN
1900,01360,CAMP DE LA VALBONNE,AIN
1904,01310,CORGENON,AIN
1906,01120,JAILLEUX,AIN
1907,01120,LA LECHERE,AIN
1908,01120,RAPAN,AIN
1909,01360,LA VALBONNE,AIN
1910,01120,CHANES,AIN
1911,01800,MARFOZ,AIN
1912,01700,LE MAS RILLIER,AIN
1913,01630,CERN SITE DE PREVESSIN,AIN
1914,01000,BROU,AIN
1915,01700,LES ECHETS,AIN
2001,02300,ABBECOURT,AISNE
2002,02800,ACHERY,AISNE
2003,02200,ACY,AISNE
2004,02340,AGNICOURT ET SECHELLES,AISNE
2005,02190,AGUILCOURT,AISNE
2006,02110,AISONVILLE ET BERNOVILLE,AISNE
2007,02820,AIZELLES,AISNE
2008,02370,AIZY JOUY,AISNE
2009,02240,ALAINCOURT,AISNE
2010,02320,ALLEMANT,AISNE
2011,02290,AMBLENY,AISNE
2012,02200,AMBRIEF,AISNE
2013,02190,AMIFONTAINE,AISNE
2014,02700,AMIGNY ROUY,AISNE
2015,02600,ANCIENVILLE,AISNE
2016,02800,ANDELAIN,AISNE
2017,02800,ANGUILCOURT LE SART,AISNE
2018,02320,ANIZY LE CHATEAU,AISNE
2019,02480,ANNOIS,AISNE
2020,02500,ANY MARTIN RIEUX,AISNE
2021,02360,ARCHON,AISNE
2022,02130,ARCY STE RESTITUE,AISNE
2023,02210,ARMENTIERES SUR OURCQ,AISNE
2024,02860,ARRANCY,AISNE
2025,02480,ARTEMPS,AISNE
2026,02330,ARTONGES,AISNE
2027,02270,ASSIS SUR SERRE,AISNE
2028,02840,ATHIES SOUS LAON,AISNE
2029,02490,ATTILLY,AISNE
2030,02420,AUBENCHEUL AUX BOIS,AISNE
2031,02500,AUBENTON,AISNE
2032,02590,AUBIGNY AUX KAISNES,AISNE
2033,02820,AUBIGNY EN LAONNOIS,AISNE
2034,02300,AUDIGNICOURT,AISNE
2035,02120,AUDIGNY,AISNE
2036,02220,AUGY,AISNE
2037,02000,AULNOIS SOUS LAON,AISNE
2038,02360,LES AUTELS,AISNE
2039,02250,AUTREMENCOURT,AISNE
2040,02580,AUTREPPES,AISNE
2041,02300,AUTREVILLE,AISNE
2042,02400,AZY SUR MARNE,AISNE
2043,02290,BAGNEUX,AISNE
2044,02140,BANCIGNY,AISNE
2045,02160,BARBONVAL,AISNE
2046,02000,BARENTON BUGNY,AISNE
2047,02000,BARENTON CEL,AISNE
2048,02270,BARENTON SUR SERRE,AISNE
2049,02700,BARISIS,AISNE
2050,02170,BARZY EN THIERACHE,AISNE
2051,02850,BARZY SUR MARNE,AISNE
2052,02380,BASSOLES AULERS,AISNE
2053,02330,BAULNE EN BRIE,AISNE
2054,02220,BAZOCHES SUR VESLES,AISNE
2055,02500,BEAUME,AISNE
2056,02300,BEAUMONT EN BEINE,AISNE
2057,02110,BEAUREVOIR,AISNE
2058,02160,BEAURIEUX,AISNE
2059,02800,BEAUTOR,AISNE
2060,02590,BEAUVOIS EN VERMANDOIS,AISNE
2061,02110,BECQUIGNY,AISNE
2062,02400,BELLEAU,AISNE
2063,02420,BELLENGLISE,AISNE
2064,02200,BELLEU,AISNE
2065,02420,BELLICOURT,AISNE
2066,02440,BENAY,AISNE
2067,02450,BERGUES SUR SAMBRE,AISNE
2068,02250,BERLANCOURT,AISNE
2069,02340,BERLISE,AISNE
2070,02120,BERNOT,AISNE
2071,02290,BERNY RIVIERE,AISNE
2072,02820,BERRIEUX,AISNE
2073,02190,BERRY AU BAC,AISNE
2074,02800,BERTAUCOURT EPOURDON,AISNE
2075,02240,BERTHENICOURT,AISNE
2076,02190,BERTRICOURT,AISNE
2077,02200,BERZY LE SEC,AISNE
2078,02300,BESME,AISNE
2079,02500,BESMONT,AISNE
2080,02870,BESNY ET LOIZY,AISNE
2081,02300,BETHANCOURT EN VAUX,AISNE
2082,02210,BEUGNEUX,AISNE
2083,02130,BEUVARDES,AISNE
2084,02310,BEZU LE GUERY,AISNE
2085,02400,BEZU ST GERMAIN,AISNE
2086,02300,BICHANCOURT,AISNE
2087,02290,BIEUXY,AISNE
2088,02860,BIEVRES,AISNE
2089,02200,BILLY SUR AISNE,AISNE
2090,02210,BILLY SUR OURCQ,AISNE
2091,02160,BLANZY LES FISMES,AISNE
2093,02300,BLERANCOURT,AISNE
2094,02400,BLESMES,AISNE
2095,02110,BOHAIN EN VERMANDOIS,AISNE
2096,02270,BOIS LES PARGNY,AISNE
2097,02350,BONCOURT,AISNE
2098,02400,BONNEIL,AISNE
2099,02400,BONNESVALYN,AISNE
2100,02420,BONY,AISNE
2101,02250,BOSMONT SUR SERRE,AISNE
2102,02860,BOUCONVILLE VAUCLAIR,AISNE
2103,02450,BOUE,AISNE
2104,02160,BOUFFIGNEREUX,AISNE
2105,02400,BOURESCHES,AISNE
2106,02160,BOURG ET COMIN,AISNE
2107,02300,BOURGUIGNON SOUS COUCY,AISNE
2108,02000,BOURGIGNON SOUS MONTBAVIN,AISNE
2109,02140,LA BOUTEILLE,AISNE
2110,02220,BRAINE,AISNE
2111,02320,BRANCOURT EN LAONNOIS,AISNE
2112,02110,BRANCOURT LE GRAND,AISNE
2113,02130,BRANGES,AISNE
2114,02400,BRASLES,AISNE
2115,02000,BRAYE EN LAONNOIS,AISNE
2116,02140,BRAYE EN THIERACHE,AISNE
2117,02480,BRAY ST CHRISTOPHE,AISNE
2118,02880,BRAYE,AISNE
2119,02210,BRECY,AISNE
2120,02220,BRENELLE,AISNE
2121,02210,BRENY,AISNE
2122,02870,BRIE,AISNE
2123,02240,BRISSAY CHOIGNY,AISNE
2124,02240,BRISSY HAMEGICOURT,AISNE
2125,02810,BRUMETZ,AISNE
2126,02360,BRUNEHAMEL,AISNE
2127,02130,BRUYERES SUR FERE,AISNE
2128,02860,BRUYERES ET MONTBERAULT,AISNE
2129,02220,BRUYS,AISNE
2130,02500,BUCILLY,AISNE
2131,02880,BUCY LE LONG,AISNE
2132,02870,BUCY LES CERNY,AISNE
2133,02350,BUCY LES PIERREPONT,AISNE
2134,02500,BUIRE,AISNE
2135,02620,BUIRONFOSSE,AISNE
2136,02140,BURELLES,AISNE
2137,02810,BUSSIARES,AISNE
2138,02200,BUZANCY,AISNE
2139,02300,CAILLOUEL CREPIGNY,AISNE
2140,02300,CAMELIN,AISNE
2141,02260,LA CAPELLE,AISNE
2142,02680,CASTRES,AISNE
2143,02420,LE CATELET,AISNE
2144,02490,CAULAINCOURT,AISNE
2145,02300,CAUMONT,AISNE
2146,02330,CELLES LES CONDE,AISNE
2147,02540,CELLE SOUS MONTMIRAIL,AISNE
2148,02370,CELLES SUR AISNE,AISNE
2149,02240,CERIZY,AISNE
2150,02860,CERNY EN LAONNOIS,AISNE
2151,02870,CERNY LES BUCY,AISNE
2152,02220,CERSEUIL,AISNE
2153,02320,CESSIERES,AISNE
2154,02200,CHACRISE,AISNE
2155,02000,CHAILLEVOIS,AISNE
2156,02270,CHALANDRY,AISNE
2157,02000,CHAMBRY,AISNE
2158,02860,CHAMOUILLE,AISNE
2159,02670,CHAMPS,AISNE
2160,02340,CHAOURSE,AISNE
2161,02330,LA CHAPELLE MONTHODON,AISNE
2162,02570,LA CHAPELLE SUR CHEZY,AISNE
2163,02310,CHARLY,AISNE
2164,02850,LE CHARMEL,AISNE
2165,02800,CHARMES,AISNE
2166,02400,CHARTEVES,AISNE
2167,02370,CHASSEMY,AISNE
2168,02400,CHATEAU THIERRY,AISNE
2169,02270,CHATILLON LES SONS,AISNE
2170,02240,CHATILLON SUR OISE,AISNE
2171,02160,CHAUDARDES,AISNE
2172,02200,CHAUDUN,AISNE
2173,02300,CHAUNY,AISNE
2174,02000,CHAVIGNON,AISNE
2175,02880,CHAVIGNY,AISNE
2176,02370,CHAVONNE,AISNE
2177,02860,CHERET,AISNE
2178,02860,CHERMIZY AILLES,AISNE
2179,02220,CHERY CHARTREUVE,AISNE
2180,02000,CHERY LES POUILLY,AISNE
2181,02360,CHERY LES ROZOY,AISNE
2182,02250,CHEVENNES,AISNE
2183,02000,CHEVREGNY,AISNE
2184,02270,CHEVRESIS MONCEAU,AISNE
2185,02810,CHEZY EN ORXOIS,AISNE
2186,02570,CHEZY SUR MARNE,AISNE
2187,02400,CHIERRY,AISNE
2188,02120,CHIGNY,AISNE
2189,02350,CHIVRES EN LAONNOIS,AISNE
2190,02880,CHIVRES VAL,AISNE
2191,02000,CHIVY LES ETOUVELLES,AISNE
2192,02210,CHOUY,AISNE
2193,02130,CIERGES,AISNE
2194,02250,CILLY,AISNE
2195,02220,CIRY SALSOGNE,AISNE
2196,02000,CLACY ET THIERRET,AISNE
2197,02260,CLAIRFONTAINE,AISNE
2198,02880,CLAMECY,AISNE
2199,02440,CLASTRES,AISNE
2200,02340,CLERMONT LES FERMES,AISNE
2201,02600,COEUVRES ET VALSERY,AISNE
2202,02130,COHAN,AISNE
2203,02210,COINCY,AISNE
2204,02360,COINGT,AISNE
2205,02860,COLLIGIS CRANDELAIN,AISNE
2206,02120,COLONFAY,AISNE
2207,02300,COMMENCHON,AISNE
2208,02160,CONCEVREUX,AISNE
2209,02330,CONDE EN BRIE,AISNE
2210,02370,CONDE SUR AISNE,AISNE
2211,02190,CONDE SUR SUIPPE,AISNE
2212,02700,CONDREN,AISNE
2213,02330,CONNIGIS,AISNE
2214,02680,CONTESCOURT,AISNE
2215,02820,CORBENY,AISNE
2216,02600,CORCY,AISNE
2217,02380,COUCY LE CHATEAU AUFFRIQU,AISNE
2218,02840,COUCY LES EPPES,AISNE
2219,02380,COUCY LA VILLE,AISNE
2220,02130,COULONGES COHAN,AISNE
2221,02310,COUPRU,AISNE
2222,02800,COURBES,AISNE
2223,02330,COURBOIN,AISNE
2224,02220,COURCELLES SUR VESLES,AISNE
2225,02810,COURCHAMPS,AISNE
2226,02200,COURMELLES,AISNE
2227,02130,COURMONT,AISNE
2228,02850,COURTEMONT VARENNES,AISNE
2229,02820,COURTRIZY ET FUSSIGNY,AISNE
2230,02220,COUVRELLES,AISNE
2231,02270,COUVRON ET AUMENCOURT,AISNE
2232,02600,COYOLLES,AISNE
2233,02130,CRAMAILLE,AISNE
2234,02160,CRAONNE,AISNE
2235,02160,CRAONNELLE,AISNE
2236,02380,CRECY AU MONT,AISNE
2237,02270,CRECY SUR SERRE,AISNE
2238,02870,CREPY,AISNE
2239,02650,CREZANCY,AISNE
2240,02110,CROIX FONSOMMES,AISNE
2241,02210,LA CROIX SUR OURCQ,AISNE
2242,02310,CROUTTES SUR MARNE,AISNE
2243,02880,CROUY,AISNE
2244,02120,CRUPILLY,AISNE
2245,02880,CUFFIES,AISNE
2246,02480,CUGNY,AISNE
2247,02210,CUGNY LES CROUTTES,AISNE
2248,02350,CUIRIEUX,AISNE
